Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,
2009-01-02,Cobar,18.4,28.9,0,14.8,13,S,37,SSE,SSE,19,19,30,8,1012.9,1012.1,1,1,20.3,27,No,No,
2009-01-14,Cobar,24.9,41.2,0,14.8,13,SSW,43,N,NNW,17,11,25,15,1012.9,1010.1,1,3,31.5,38.1,No,No,
2009-01-27,Cobar,27,38.7,0,14.2,13,ENE,46,ENE,ESE,24,7,45,22,1015.2,1012.6,1,3,29,36.4,No,No,
2009-02-08,Cobar,25.1,42,0,17.4,13,NNE,39,N,NNE,15,13,23,9,1009.9,1007.3,0,1,31.6,40.4,No,No,
2009-02-12,Cobar,14.5,30.1,0,9.6,10,S,37,S,SE,9,13,44,25,1013.2,1010,6,6,17.4,28.4,No,No,
2009-02-18,Cobar,16.5,27.4,1.6,2,10,E,30,E,ESE,19,15,69,53,1009,1006.2,3,6,20.1,27,Yes,No,
2009-02-24,Cobar,21,34.7,2,10,9,E,46,NNE,NW,15,22,60,34,1013.5,1011.7,3,4,25.6,32.9,Yes,No,
2009-02-26,Cobar,17.9,33.8,0,8.4,12,ESE,24,ESE,WSW,13,7,25,19,1014.7,1013,0,1,24,32.4,No,No,
2009-02-28,Cobar,22.2,36.9,0,9.4,12,WSW,41,N,WNW,17,19,41,18,1010.9,1008.1,6,2,25.8,35.8,No,No,
2009-03-07,Cobar,13.1,29.6,0,8,12,SW,26,ESE,NE,11,7,42,18,1014.6,1012.4,0,0,18.7,27.8,No,No,
2009-03-08,Cobar,16.5,33.2,0,9.4,12,E,46,SE,ESE,15,11,29,13,1014.2,1012,0,0,22.6,31.8,No,No,
2009-03-13,Cobar,18.5,29.6,9.2,7.6,6,NE,39,ENE,NE,13,6,86,43,1016.1,1013.3,5,6,20,28.8,Yes,Yes,
2009-04-06,Cobar,10.7,23.3,0,6.2,11,SSW,43,SSE,S,17,15,53,23,1021.2,1018.6,0,0,16.4,22.2,No,No,
2009-04-08,Cobar,13.5,28.4,0,5.8,9,ENE,35,ENE,ENE,24,11,57,32,1023,1019.8,1,3,19.9,28.1,No,No,
2009-04-17,Cobar,11.7,23.8,0,5,11,SSW,28,SSE,SSW,11,13,38,27,1017.7,1015.7,0,0,17.2,23.5,No,No,
2009-04-18,Cobar,11.2,23.8,0,5,11,S,35,S,S,7,15,50,29,1020.9,1018.2,0,0,17.9,23.1,No,No,
2009-04-23,Cobar,12,25.9,0,4.4,11,NE,33,ENE,E,20,9,57,28,1018.5,1013.7,0,4,17.5,25.3,No,No,
2009-04-26,Cobar,11.2,18.4,1,5.6,9,WNW,63,WSW,W,22,19,54,37,1011.1,1010.7,1,6,13.1,16.5,No,No,
2009-04-28,Cobar,12.4,19.9,1,4.2,8,WSW,35,SW,SW,17,19,78,41,1020.7,1018.6,7,3,14.7,18.6,No,No,
